structure_max_elevation,footprint_max_elevation,structure_min_elevation,property_id,footprint_extrusion,footprint_min_elevation,structure_extrusion,roof_type
22.0,22.0,17.5,108760,4.5,17.5,4.5,Gable
22.0,21.0,17.5,108759,3.5,17.5,3.5,Flat
26.5,26.5,18.5,100372,8.0,18.5,8.0,Flat
22.0,21.0,17.5,108759,3.5,18.0,3.5,Flat
23.0,21.0,17.5,100376,3.0,18.0,3.5,Flat
20.5,20.5,18.0,100374,2.5,18.0,2.5,Flat
23.0,22.0,17.5,100376,4.5,17.5,4.5,Gable
24.0,22.0,17.5,100375,4.5,17.5,4.5,Gable
24.0,22.0,17.5,100374,4.5,17.5,4.5,Gable
21.5,21.5,17.5,108761,4.0,17.5,4.0,Gable
24.0,24.0,17.5,108766,6.5,17.5,6.5,Flat
26.0,24.0,18.0,109620,6.0,18.0,6.0,Gable
26.0,24.0,18.0,109619,6.0,18.0,6.0,Gable
26.0,26.0,18.0,109619,8.5,18.0,8.0,Flat
21.0,21.0,17.5,108765,3.5,17.5,3.5,Gable
26.0,26.0,18.0,109620,8.0,18.0,8.0,Flat
26.0,26.0,17.0,109621,8.0,18.0,9.0,Gable
21.5,21.0,17.5,108762,3.5,17.5,3.5,Flat
21.5,21.5,17.5,108762,4.0,17.5,4.0,Gable
21.0,21.0,17.5,109627,3.0,17.5,3.5,Flat
21.0,21.0,17.5,109626,3.0,17.5,3.5,Flat
25.0,23.5,17.5,109624,5.5,18.0,6.0,Gable
25.0,25.0,17.5,109624,7.0,18.0,7.5,Gable
25.0,25.0,17.5,109625,7.0,18.0,7.5,Gable
21.0,21.0,17.5,109626,3.0,18.0,3.5,Gable
21.0,21.0,18.5,109632,2.5,18.5,2.5,Flat
24.0,24.0,18.5,533382,6.0,18.5,5.5,Gable
20.0,20.0,18.5,100371,1.5,18.5,1.5,Flat
23.0,21.0,18.0,109628,3.0,18.0,3.0,Flat
23.0,21.0,18.0,109628,3.0,18.0,3.0,Flat
20.5,20.5,18.0,533381,2.5,18.0,2.5,Flat
23.5,20.5,18.0,533381,2.5,18.0,2.5,Flat
23.0,23.0,18.0,109628,5.0,18.0,5.0,Gable
23.0,21.0,18.0,109628,3.0,18.0,3.0,Gable
22.0,22.0,18.0,109633,4.0,18.0,4.0,Hip
23.5,23.5,18.0,109629,5.5,18.0,5.5,Hip
24.0,22.0,18.5,109634,3.5,18.5,3.5,Gable
35.5,35.5,29.0,107640,6.5,29.0,6.5,Hip
35.5,34.5,28.5,104527,6.0,29.0,6.0,Flat
35.5,35.5,28.5,104527,7.5,28.5,7.0,Hip
33.5,31.5,26.0,107663,6.0,26.0,5.5,Flat
34.5,32.0,26.0,107664,6.0,26.0,6.0,Flat
35.0,31.0,25.0,107662,6.5,25.0,6.0,Flat
35.0,31.0,25.0,107661,6.5,25.0,6.0,Flat
33.0,33.0,28.0,107665,5.0,28.0,5.0,Hip
28.5,28.5,26.0,107670,2.5,26.0,2.5,Flat
28.5,28.5,26.0,107671,2.5,26.0,2.5,Flat
37.5,35.0,26.0,107668,8.5,26.0,9.0,Hip
36.0,35.0,26.5,107671,8.5,26.5,8.5,Hip
37.5,37.5,26.0,107668,9.0,29.0,11.5,Hip
33.0,33.0,27.0,107667,6.5,27.0,6.0,Flat
35.5,35.5,27.0,107667,7.5,28.0,8.5,Hip
28.5,28.5,25.5,104331,3.0,25.5,3.0,Flat
34.0,32.5,24.5,104349,8.0,24.5,8.0,Flat
34.0,29.0,25.5,104332,3.0,25.5,3.5,Flat
31.0,31.0,24.0,104329,7.0,24.0,7.0,Hip
34.0,34.0,25.0,104330,8.5,25.0,9.0,Hip
29.5,29.5,25.5,104333,3.5,26.0,4.0,Hip
28.0,28.0,25.0,107666,3.0,25.0,3.0,Hip
28.0,27.5,25.0,107666,2.0,25.0,2.5,Pyramid
28.0,25.0,21.0,104517,3.0,22.0,4.0,Flat
27.0,25.0,21.5,515947,3.0,22.0,3.5,Flat
29.0,26.0,22.0,104520,3.5,22.5,4.0,Flat
29.0,25.5,22.0,104522,2.0,23.0,3.5,Flat
26.5,26.5,23.5,107659,3.0,23.5,3.0,Flat
35.0,30.0,25.0,107658,5.0,25.0,5.0,Flat
33.5,28.0,24.0,104351,3.5,24.5,4.0,Flat
24.0,24.0,21.5,104354,2.5,21.5,2.5,Flat
24.0,24.0,21.5,104355,2.5,21.5,2.5,Flat
28.0,24.0,21.0,104518,3.0,21.5,3.0,Gable
29.0,25.5,22.0,104520,3.5,22.0,3.5,Gable
34.0,29.0,24.5,104350,4.5,24.5,4.5,Gable
28.0,28.0,21.0,104517,7.0,21.0,7.0,Hip
29.0,29.0,22.5,104523,5.0,24.0,6.5,Hip
29.5,29.5,23.0,104524,6.5,23.5,6.5,Hip
23.5,23.5,20.0,108746,3.5,20.0,3.5,Flat
24.5,24.0,20.0,108743,3.5,20.5,4.0,Flat
24.5,24.0,20.5,108742,3.5,20.5,3.5,Flat
27.0,27.0,18.5,108749,8.5,18.5,8.5,Gable
26.5,24.5,21.0,108744,3.0,21.5,3.5,Hip
26.5,24.0,21.0,108744,3.0,21.0,3.0,Hip
24.5,24.5,20.0,108743,4.5,20.0,4.5,Hip
26.5,26.5,24.0,104327,2.5,24.0,2.5,Flat
27.5,27.5,24.0,104328,3.5,24.0,3.5,Gable
24.5,24.5,22.0,104324,3.0,22.0,2.5,Flat
30.5,25.5,23.0,104990,2.5,23.0,2.5,Flat
26.0,26.0,22.5,104990,3.5,22.5,3.5,Flat
27.0,27.0,19.0,108751,8.0,19.0,8.0,Gable
24.5,24.5,20.5,104321,4.0,20.5,4.0,Hip
28.0,26.0,19.5,108754,6.5,19.5,6.5,Flat
26.5,26.5,20.0,104360,6.0,20.5,6.5,Gable
26.5,25.0,20.0,104360,4.5,20.5,5.0,Hip
25.0,25.0,19.5,104363,6.0,19.5,5.5,Hip
25.0,24.5,19.5,104362,5.0,19.5,5.0,Hip
25.0,24.5,19.5,104363,5.0,19.5,5.0,Hip
28.5,28.5,21.0,104322,7.5,21.0,7.5,Hip
24.5,24.5,18.5,104508,5.5,18.5,6.0,Flat
20.5,20.5,18.0,104505,2.5,18.0,2.5,Flat
21.5,21.5,18.5,104509,3.0,18.5,3.0,Flat
24.5,24.5,19.0,104510,5.5,19.0,5.5,Flat
25.0,25.0,20.0,104361,5.0,20.0,5.0,Flat
22.5,22.5,20.0,104360,2.5,20.0,2.5,Flat
27.0,26.0,19.0,104512,7.0,19.0,7.0,Flat
27.0,25.5,19.0,104513,6.0,19.5,6.5,Flat
26.0,23.0,18.0,108757,5.0,18.0,5.0,Hip
22.5,20.5,18.0,104507,3.0,18.0,2.5,Hip
22.5,20.5,18.0,104506,3.0,18.0,2.5,Hip
23.0,23.0,18.0,104505,5.0,18.0,5.0,Hip
27.0,25.0,19.0,104510,6.0,19.0,6.0,Hip
27.0,27.0,19.0,104512,7.5,19.5,8.0,Hip
27.0,27.0,19.0,104513,7.5,19.5,8.0,Hip
24.0,24.0,21.0,104356,3.0,21.0,3.0,Hip
28.5,25.5,20.5,104325,3.0,22.0,5.0,Flat
31.0,31.0,22.5,104326,8.5,22.5,8.5,Flat
31.5,31.5,21.5,104355,9.5,21.5,10.0,Hip
31.0,31.0,21.0,104358,10.0,21.0,10.0,Hip
39.0,39.0,30.5,107689,8.5,30.5,8.5,Flat
37.5,37.5,29.5,104253,8.5,29.5,8.0,Flat
33.5,33.5,29.0,104252,4.0,29.5,4.5,Gable
35.5,35.5,29.0,104251,6.5,29.0,6.5,Hip
37.5,37.5,29.5,104253,8.0,29.5,8.0,Hip
39.0,34.5,30.5,107689,4.0,30.5,4.0,Flat
35.0,33.5,30.0,107685,3.5,30.0,3.5,Flat
29.0,29.0,26.0,107679,3.0,26.0,3.0,Flat
34.5,34.5,27.5,107687,7.0,27.5,7.0,Flat
31.0,31.0,28.0,104960,3.0,28.0,3.0,Hip
27.5,27.5,25.0,110864,2.5,25.0,2.5,Flat
29.0,27.5,24.0,104283,3.0,24.5,3.5,Flat
27.5,27.5,25.0,110864,2.5,25.0,2.5,Gable
33.0,28.0,24.5,104955,2.5,25.5,3.5,Gable
36.5,36.5,22.5,104992,14.0,22.5,14.0,Hip
31.5,31.5,23.5,104950,8.0,23.5,8.0,Hip
27.5,27.0,24.0,104951,3.0,24.0,3.0,Hip
30.0,30.0,24.0,104952,6.0,24.0,6.0,Hip
33.0,29.5,24.5,104955,4.0,25.5,5.0,Hip
33.0,33.0,24.5,104955,8.5,24.5,8.5,Hip
33.0,33.0,24.0,104954,9.0,24.0,9.0,Hip
34.5,29.0,25.5,104956,3.5,25.5,3.5,Flat
34.5,34.0,25.5,104956,8.5,25.5,8.5,Hip
33.0,28.5,24.0,517008,4.0,24.0,4.5,Flat
36.0,36.0,26.0,104987,10.0,26.0,10.0,Hip
33.0,31.5,24.0,517008,7.5,24.0,7.5,Hip
30.5,30.5,23.0,104990,7.5,23.5,7.5,Hip
38.0,38.0,29.5,110004,8.5,29.5,8.5,Hip
38.0,37.0,29.0,104248,8.0,29.0,8.0,Flat
38.0,38.0,29.0,104248,9.0,29.0,9.0,Hip
38.0,38.0,29.0,104247,9.0,29.0,9.0,Hip
38.0,32.5,29.0,104248,3.5,29.0,3.5,Hip
35.5,35.5,28.5,104249,7.0,28.5,7.0,Hip
35.5,34.5,29.0,104251,5.5,29.0,5.5,Hip
38.5,31.5,26.5,108733,3.0,28.5,5.0,Flat
34.5,34.5,29.0,110004,5.5,29.0,5.5,Hip
34.0,34.0,26.0,104282,7.5,26.5,8.0,Hip
46.5,46.5,28.0,110003,18.5,28.0,18.5,Flat
37.5,33.0,29.0,110007,4.0,29.0,4.0,Gable
37.5,33.0,29.0,110006,4.0,29.0,4.0,Gable
37.5,37.5,29.0,110006,8.5,29.0,8.5,Gable
37.5,37.5,29.0,110008,8.5,29.0,8.5,Gable
36.0,32.0,28.5,109999,3.5,28.5,3.5,Flat
36.0,36.0,28.5,110000,7.5,28.5,7.5,Hip
36.0,32.5,28.5,110000,4.0,28.5,4.0,Flat
32.0,32.0,29.5,104246,2.5,29.5,2.5,Flat
36.0,31.5,29.0,104251,2.5,29.5,2.5,Flat
