data_format,development_key,status,year_completed,clue_small_area,clue_block,street_address,property_id,property_id_2,property_id_3,property_id_4,property_id_5,floors_above,resi_dwellings,studio_dwe,one_bdrm_dwe,two_bdrm_dwe,three_bdrm_dwe,student_apartments,student_beds,student_accommodation_units,institutional_accom_beds,hotel_rooms,serviced_apartments,hotels_serviced_apartments,hostel_beds,childcare_places,office_flr,retail_flr,industrial_flr,storage_flr,education_flr,hospital_flr,recreation_flr,publicdispaly_flr,community_flr,car_spaces,bike_spaces,town_planning_application,longitude,latitude,geopoint
Pre May 16,X000070,COMPLETED,2002,Melbourne (CBD),31,Liberty Tower 612-624 Collins Street MELBOURNE VIC 3000,102109,,,,,28,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,144.9543508,-37.81867521,"-37.81867521, 144.9543508"
Pre May 16,X000073,COMPLETED,2005,Melbourne (CBD),32,480-490 Collins Street MELBOURNE VIC 3000,102118,,,,,21,29,0,0,0,0,0,0,0,0,0,260,260,0,0,1470,259,0,0,0,0,0,0,0,0,0,0,144.9579658,-37.81764139,"-37.81764139, 144.9579658"
Pre May 16,X000667,COMPLETED,2005,Kensington,520,56-68 Derby Street KENSINGTON VIC 3031,102489,,,,,6,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9274052,-37.79757493,"-37.79757493, 144.9274052"
Pre May 16,X000355,COMPLETED,2009,Carlton,219,Rosso Apartments 262-276 Drummond Street CARLTON VIC 3053,102731,,,,,4,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9688791,-37.79976069,"-37.79976069, 144.9688791"
Pre May 16,X000611,COMPLETED,2011,West Melbourne (Residential),443,100-154 Batman Street WEST MELBOURNE VIC 3003,102953,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10390,0,0,0,0,0,0,0,0,0,0,0,144.9489427,-37.81101185,"-37.81101185, 144.9489427"
Pre May 16,X000340,COMPLETED,2006,Carlton,208,216-228 Elgin Street CARLTON VIC 3053,103128,,,,,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9668804,-37.79673722,"-37.79673722, 144.9668804"
Pre May 16,X000350,COMPLETED,2011,Carlton,214,168-174 Elgin Street CARLTON VIC 3053,103140,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9687787,-37.79708912,"-37.79708912, 144.9687787"
Pre May 16,X000294,COMPLETED,2007,Melbourne (CBD),104,453-459 Elizabeth Street MELBOURNE VIC 3000,103229,,,,,12,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,144.960166,-37.80845865,"-37.80845865, 144.960166"
Pre May 16,X000958,COMPLETED,2015,Parkville,919,Victorian Comprehensive Cancer Centre 301-327 Grattan Street MELBOURNE VIC 3000,103256,,,,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,94402,0,0,0,0,0,0,144.9566698,-37.80019271,"-37.80019271, 144.9566698"
Pre May 16,X000401,COMPLETED,2010,Carlton,260,660-674 Elizabeth Street MELBOURNE VIC 3000,103268,,,,,10,0,0,0,0,0,0,0,0,191,0,0,0,0,0,1088,0,0,0,0,0,0,0,0,0,0,0,144.9584959,-37.80279165,"-37.80279165, 144.9584959"
Pre May 16,X000400,COMPLETED,2011,Carlton,260,Elan Apartments 634-640 Elizabeth Street MELBOURNE VIC 3000,103275,,,,,11,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9587732,-37.80338509,"-37.80338509, 144.9587732"
Pre May 16,X000295,COMPLETED,2014,Melbourne (CBD),105,410-420 Elizabeth Street MELBOURNE VIC 3000,103303,,,,,55,487,0,189,288,10,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,137,202,0,144.961157,-37.80894871,"-37.80894871, 144.961157"
Pre May 16,X000020,COMPLETED,2014,Melbourne (CBD),15,River View House 274-282 Flinders Street MELBOURNE VIC 3000,103328,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,144.9650858,-37.81765999,"-37.81765999, 144.9650858"
